datetime,value
2020-12-12 13:00:02.255000,303.5921
2020-12-12 13:15:02.118000,287.2268
2020-12-12 13:30:02.095000,276.7585
2020-12-12 13:45:02.139000,274.4339
2020-12-12 14:00:02.114000,239.7636
2020-12-12 14:15:02.102000,211.0763
2020-12-12 14:30:02.315000,191.9724
2020-12-12 14:45:02.111000,150.4319
2020-12-12 15:00:02.150000,142.7653
2020-12-12 15:15:02.190000,141.518
2020-12-12 15:30:02.237000,152.135
2020-12-12 15:45:02.154000,83.5869
2020-12-12 16:00:02.211000,158.9621
2020-12-12 16:15:02.113000,62.6159
2020-12-12 16:30:02.119000,10.8391
2020-12-12 16:45:02.290000,4.4265
2020-12-12 17:00:02.342000,112.783
2020-12-12 17:15:02.138000,101.6435
2020-12-12 17:30:02.184000,36.7078
2020-12-12 17:45:02.153000,3.0886
2020-12-12 18:00:02.105000,0.2598222494125366
2020-12-12 18:15:02.152000,0.021858282387256622
2020-12-12 18:30:02.102000,0.0018389999167993665
2020-12-12 18:45:02.099000,0.00015472588711418211
2020-12-12 19:00:02.145000,1.2990989489480853e-05
2020-12-12 19:15:02.157000,1.093011633201968e-06
2020-12-12 19:30:02.136000,9.195050409971373e-08
2020-12-12 19:45:02.166000,5.4655
2020-12-12 20:00:02.551000,8.0625
2020-12-12 20:15:02.149000,21.1
2020-12-12 20:30:02.191000,2.544
2020-12-12 20:45:02.142000,12.3558
2020-12-12 21:00:02.104000,59.4341
2020-12-12 21:15:02.130000,65.507
2020-12-12 21:30:02.112000,84.2471
2020-12-12 21:45:02.216000,78.8773
2020-12-12 22:00:02.203000,89.7874
2020-12-12 22:15:02.104000,89.2047
2020-12-12 22:30:02.197000,95.5878
2020-12-12 22:45:02.107000,96.5106
2020-12-12 23:00:02.150000,86.824
2020-12-12 23:15:02.128000,88.9209
2020-12-12 23:30:02.102000,88.2634
2020-12-12 23:45:02.143000,93.7748
2020-12-13 00:00:02.151000,95.7965
2020-12-13 00:15:02.135000,96.265
2020-12-13 00:30:02.177000,95.8315
2020-12-13 00:45:02.104000,93.941
2020-12-13 01:00:02.113000,103.0509
2020-12-13 01:15:02.136000,100.6583
2020-12-13 01:30:02.202000,107.4063
2020-12-13 05:00:02.137000,105.9355
2020-12-13 05:15:17.183000,105.3663
2020-12-13 05:30:02.130000,107.2725
2020-12-13 05:45:02.137000,102.9007
2020-12-13 06:00:02.127000,110.8938
2020-12-13 06:15:02.094000,103.5416
2020-12-13 06:30:02.108000,99.0293
2020-12-13 06:45:02.149000,95.7547
2020-12-13 07:00:02.107000,88.76
2020-12-13 07:15:02.096000,102.7055
2020-12-13 07:30:02.154000,97.554
2020-12-13 07:45:02.158000,103.7784
2020-12-13 08:00:02.140000,103.3397
2020-12-13 08:15:02.309000,103.6412
2020-12-13 08:30:02.145000,104.6969
2020-12-13 08:45:02.226000,101.5729
2020-12-13 09:00:02.141000,110.105
2020-12-13 09:15:02.239000,106.313
2020-12-13 09:30:02.102000,109.6073
2020-12-13 09:45:02.275000,111.3678
2020-12-13 10:00:02.157000,101.0041
2020-12-13 10:15:02.148000,104.7536
2020-12-13 10:30:02.189000,111.2927
2020-12-13 10:45:02.135000,100.5092
